Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Tests,Population,continent,Density
China,188351.0,3316.0,4648.0,7.0,153319.0,1912.0,30384.0,75.0,160000000.0,1439323776.0,Asia,149.2199
USA,82441952.0,39149.0,1016685.0,437.0,80279382.0,35289.0,1145885.0,1436.0,997115318.0,334490583.0,North America,36.0
India,43047594.0,2067.0,522006.0,10.0,42513248.0,1547.0,12340.0,698.0,832506755.0,1404384066.0,Asia,427.8611
Brazil,30279270.0,18182.0,662266.0,190.0,29298848.0,36365.0,318156.0,8318.0,63776166.0,215274575.0,South America,25.2888
France,27816299.0,25465.0,144387.0,182.0,25301327.0,168976.0,2370585.0,1541.0,260504402.0,65533058.0,Europe,118.8782
Germany,23588355.0,130759.0,133533.0,96.0,20347900.0,262100.0,3106922.0,1980.0,122332384.0,84265358.0,Europe,234.893
UK,21874092.0,23628.0,171878.0,97.0,20499397.0,193061.0,1202817.0,355.0,513744810.0,68526830.0,Europe,281.0
Russia,18092791.0,8640.0,373948.0,235.0,17407228.0,16763.0,311615.0,2300.0,273400000.0,146046907.0,Europe,8.5275
S. Korea,16471940.0,118445.0,21354.0,130.0,627507.0,0.0,15823079.0,834.0,15804065.0,51348472.0,Asia,527.0
Italy,15758594.0,27806.0,161893.0,127.0,14387830.0,35763.0,1208871.0,422.0,209450124.0,60302072.0,Europe,199.9853
Turkey,15003696.0,4217.0,98610.0,23.0,14780437.0,16561.0,124649.0,975.0,157511562.0,85969774.0,Asia,109.1962
Spain,11736893.0,10671.0,103721.0,65.0,11220981.0,13991.0,412191.0,345.0,471036328.0,46787320.0,Europe,92.3318
Vietnam,10489319.0,13500.0,42975.0,18.0,9065694.0,124630.0,1380650.0,1010.0,85711086.0,98912350.0,Asia,298.7619
Argentina,9060923.0,0.0,128344.0,0.0,8895999.0,0.0,36580.0,412.0,35716069.0,45941005.0,South America,16.5481
Netherlands,8026480.0,2496.0,22168.0,5.0,7489241.0,76279.0,515071.0,113.0,21107399.0,17203001.0,Europe,411.2652
Japan,7402533.0,28282.0,29049.0,26.0,6875015.0,45109.0,498469.0,213.0,45879318.0,125780765.0,Asia,332.2966
Iran,7210788.0,1820.0,140877.0,23.0,6952007.0,3061.0,117904.0,1264.0,50079995.0,85924601.0,Asia,52.1921
Colombia,6089998.0,207.0,139754.0,3.0,5923443.0,156.0,26801.0,342.0,34287337.0,51857407.0,South America,45.1175
Indonesia,6041269.0,837.0,155937.0,34.0,5836310.0,2750.0,49022.0,2771.0,94377545.0,278720770.0,Asia,146.5605
Poland,5985814.0,300.0,115838.0,0.0,5334099.0,0.0,535877.0,268.0,35954670.0,37772127.0,Europe,120.6982
Mexico,5727832.0,164.0,323949.0,5.0,5029117.0,681.0,374766.0,4798.0,15717303.0,131366835.0,North America,66.9744
Australia,5457988.0,38608.0,6807.0,21.0,5073532.0,55948.0,377649.0,144.0,68366502.0,26031505.0,Australia/Oceania,3.3891
