Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Tests,Population,continent,Density
China,191112.0,2761.0,4655.0,7.0,155684.0,2365.0,30773.0,116.0,160000000.0,1439323776.0,Asia,149.2199
USA,82507854.0,50881.0,1017310.0,440.0,80320797.0,36111.0,1169747.0,1514.0,998630495.0,334495877.0,North America,36.0
India,43049974.0,2380.0,522062.0,56.0,42514479.0,1231.0,13433.0,698.0,832927938.0,1404421106.0,Asia,427.8611
Brazil,30311969.0,32699.0,662470.0,204.0,29340802.0,41954.0,308697.0,8318.0,63776166.0,215278697.0,South America,25.2888
France,27972010.0,155711.0,144614.0,227.0,25470456.0,169129.0,2356940.0,1541.0,260504402.0,65533452.0,Europe,118.8782
Germany,23775588.0,187233.0,133894.0,361.0,20609400.0,261500.0,3032294.0,1980.0,122332384.0,84266089.0,Europe,234.893
UK,21890037.0,15945.0,172386.0,508.0,20581700.0,82303.0,1135951.0,336.0,514189111.0,68527802.0,Europe,281.0
Russia,18101986.0,9195.0,374171.0,223.0,17423428.0,16200.0,304387.0,2300.0,273400000.0,146047077.0,Europe,8.5275
S. Korea,16583220.0,111280.0,21520.0,166.0,627610.0,0.0,15934090.0,808.0,15804065.0,51348592.0,Asia,527.0
Italy,15859417.0,100823.0,162098.0,205.0,14489444.0,101614.0,1207875.0,413.0,210060724.0,60301830.0,Europe,199.9853
Turkey,15007364.0,3668.0,98628.0,18.0,14798294.0,17857.0,110442.0,975.0,157670085.0,85972252.0,Asia,109.1962
Spain,11736893.0,0.0,103721.0,0.0,11220981.0,0.0,412191.0,345.0,471036328.0,46787369.0,Europe,92.3318
Vietnam,10521135.0,13295.0,42982.0,7.0,9068234.0,2540.0,1409919.0,896.0,85724870.0,98914740.0,Asia,298.7619
Argentina,9060923.0,0.0,128344.0,0.0,8895999.0,0.0,36580.0,412.0,35716069.0,45942138.0,South America,16.5481
Netherlands,8029978.0,3498.0,22179.0,11.0,7521150.0,31909.0,486649.0,107.0,21107399.0,17203105.0,Europe,411.2652
Japan,7440164.0,37631.0,29102.0,53.0,6920097.0,45082.0,490965.0,214.0,46045240.0,125779711.0,Asia,332.2966
Iran,7212395.0,1607.0,140896.0,19.0,6954941.0,2934.0,116558.0,1225.0,50079995.0,85927538.0,Asia,52.1921
Colombia,6090246.0,248.0,139755.0,1.0,5923619.0,176.0,26872.0,342.0,34306661.0,51858888.0,South America,45.1175
Indonesia,6042010.0,741.0,155974.0,37.0,5840945.0,4635.0,45091.0,2771.0,94510650.0,278728668.0,Asia,146.5605
Poland,5987340.0,1526.0,115869.0,31.0,5334163.0,64.0,537308.0,268.0,35975804.0,37772015.0,Europe,120.6982
Mexico,5729270.0,1438.0,323973.0,24.0,5030349.0,1232.0,374948.0,4798.0,15728496.0,131370534.0,North America,66.9744
Australia,5509313.0,51325.0,6842.0,35.0,5131262.0,57730.0,371209.0,161.0,68517394.0,26032313.0,Australia/Oceania,3.3891
Ukraine,4995390.0,1144.0,108286.0,18.0,974615.0,0.0,3912489.0,177.0,19521252.0,43260977.0,Europe,71.5694
Malaysia,4409202.0,6968.0,35465.0,16.0,4283013.0,8267.0,90724.0,97.0,58132383.0,33112225.0,Asia,100.3046
Thailand,4084299.0,20455.0,27266.0,128.0,3865293.0,25933.0,191740.0,1496.0,17270775.0,70115191.0,Asia,136.5727
Austria,4072410.0,7571.0,17057.0,31.0,3945134.0,14656.0,110219.0,138.0,181007797.0,9098883.0,Europe,108.103
Israel,4044994.0,4050.0,10658.0,11.0,3941841.0,0.0,92495.0,220.0,41373364.0,9326000.0,Asia,429.6048
Belgium,4011109.0,6602.0,31304.0,14.0,3683057.0,6661.0,296748.0,181.0,33313880.0,11680399.0,Europe,382.2156
Czechia,3886906.0,3585.0,40033.0,12.0,3823730.0,1745.0,23143.0,60.0,55054194.0,10744736.0,Europe,139.0
South Africa,3746424.0,2842.0,100211.0,16.0,3630033.0,1257.0,16180.0,175.0,24234233.0,60654305.0,Africa,49.7578
Portugal,3719485.0,0.0,21993.0,0.0,974615.0,0.0,2722877.0,61.0,40748372.0,10143206.0,Europe,110.1159
Philippines,3683731.0,364.0,59990.0,8.0,3605879.0,1309.0,17862.0,289.0,29336384.0,112205605.0,Asia,328.6345
Canada,3664699.0,9896.0,38542.0,113.0,3409765.0,5893.0,216392.0,426.0,60442165.0,38337692.0,North America,3.8447
Switzerland,3579867.0,0.0,13816.0,3.0,3305310.0,12279.0,260741.0,90.0,20666182.0,8768528.0,Europe,212.5191
Peru,3557869.0,730.0,212704.0,28.0,853511.0,0.0,2491654.0,353.0,29509747.0,33798340.0,South America,26.209
Chile,3535534.0,2885.0,57283.0,8.0,3343870.0,7550.0,134381.0,305.0,36543862.0,19411512.0,South America,25.4598
Greece,3259613.0,7365.0,28765.0,64.0,3123776.0,14714.0,107072.0,291.0,78430601.0,10331439.0,Europe,78.1623
Denmark,2954428.0,2177.0,6030.0,11.0,2921727.0,2989.0,26671.0,17.0,127100065.0,5828911.0,Europe,135.4005
Romania,2885221.0,1107.0,65384.0,17.0,2606660.0,0.0,213177.0,233.0,22534694.0,19006772.0,Europe,79.8324
Sweden,2498388.0,666.0,18656.0,0.0,2459356.0,342.0,20376.0,24.0,18471631.0,10212599.0,Europe,22.6939
Iraq,2323707.0,199.0,25201.0,1.0,2294565.0,547.0,3941.0,29.0,18439137.0,41846122.0,Asia,96.1974
Serbia,1998776.0,921.0,15940.0,4.0,1963793.0,1498.0,19043.0,22.0,9405605.0,8674039.0,Europe,97.928
Bangladesh,1952440.0,28.0,29127.0,1.0,1892072.0,546.0,31241.0,1283.0,13941498.0,167642133.0,Asia,1137.6682
Hungary,1885865.0,1407.0,46000.0,29.0,1763911.0,3134.0,75954.0,47.0,11278894.0,9616208.0,Europe,103.262
Slovakia,1768045.0,2083.0,19790.0,17.0,1717542.0,5205.0,30713.0,109.0,7032606.0,5464401.0,Europe,111.3484
Jordan,1694216.0,0.0,14048.0,0.0,1678941.0,0.0,1227.0,124.0,16670254.0,10385419.0,Asia,115.297
Georgia,1653692.0,232.0,16794.0,0.0,1634591.0,117.0,2307.0,0.0,16749333.0,3975387.0,Asia,56.9403
Pakistan,1527486.0,75.0,30368.0,4.0,1493796.0,89.0,3322.0,215.0,27965862.0,228608810.0,Asia,260.2176
Ireland,1506963.0,1395.0,6981.0,17.0,1383213.0,3992.0,116769.0,42.0,12003922.0,5037045.0,Europe,71.4385
Norway,1421691.0,941.0,2871.0,0.0,974615.0,0.0,444205.0,20.0,11002430.0,5497531.0,Europe,17.0208
Kazakhstan,1305417.0,11.0,13660.0,0.0,1290904.0,8.0,853.0,24.0,11575012.0,19180876.0,Asia,7.048
Hong Kong,1199706.0,668.0,9186.0,10.0,627610.0,0.0,562910.0,115.0,44972952.0,7606443.0,Asia,6887.952
Singapore,1170970.0,3472.0,1319.0,2.0,1102269.0,3127.0,67382.0,8.0,23712995.0,5933147.0,Asia,8371.1915
Morocco,1164507.0,40.0,16064.0,0.0,1147911.0,108.0,532.0,293.0,11237010.0,37697852.0,Africa,84.588
Bulgaria,1151620.0,609.0,36827.0,11.0,957834.0,2470.0,156959.0,116.0,9777999.0,6854328.0,Europe,61.7303
Croatia,1114141.0,478.0,15757.0,5.0,1094761.0,313.0,3623.0,20.0,4749397.0,4059712.0,Europe,71.7264
Cuba,1100609.0,297.0,8522.0,0.0,1090651.0,393.0,1436.0,23.0,12920253.0,11314174.0,North America,102.8872
Lebanon,1095959.0,148.0,10368.0,3.0,1078226.0,396.0,7365.0,186.0,4795578.0,6770443.0,Asia,639.5761
Lithuania,1051268.0,1056.0,9035.0,9.0,1011212.0,2479.0,31021.0,53.0,8194298.0,2653957.0,Europe,40.7612
Tunisia,1039532.0,0.0,28533.0,0.0,46401.0,0.0,964598.0,29.0,4563397.0,12041170.0,Africa,73.6303
Slovenia,1000460.0,2152.0,6567.0,3.0,974615.0,2301.0,19278.0,28.0,2636541.0,2079452.0,Europe,102.5025
Nepal,978693.0,9.0,11951.0,0.0,966424.0,25.0,318.0,0.0,5605701.0,30079674.0,Asia,205.3633
Belarus,975566.0,605.0,6914.0,4.0,928536.0,0.0,40116.0,0.0,13058091.0,9443729.0,Europe,45.4374
Finland,949583.0,0.0,3517.0,0.0,46000.0,0.0,900066.0,29.0,10591416.0,5556210.0,Europe,16.4142
