Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Tests,Population,continent,Density
China,196086.0,2133.0,4674.0,11.0,160599.0,2730.0,30813.0,251.0,160000000.0,1439323776.0,Asia,149.2199
USA,82628089.0,54113.0,1018154.0,318.0,80402401.0,34963.0,1207534.0,1512.0,1000126235.0,334501170.0,North America,36.0
India,43054952.0,2527.0,522149.0,33.0,42517724.0,1656.0,15079.0,698.0,833825991.0,1404458147.0,Asia,427.8611
Brazil,30338697.0,8068.0,662618.0,62.0,29353398.0,0.0,322681.0,8318.0,63776166.0,215282819.0,South America,25.2888
France,28164406.0,88389.0,144945.0,146.0,25750787.0,131929.0,2268674.0,1677.0,266484045.0,65533845.0,Europe,118.8782
Germany,24019768.0,104331.0,134471.0,187.0,21058000.0,204900.0,2827297.0,1980.0,122332384.0,84266819.0,Europe,234.893
UK,21933206.0,11393.0,173352.0,320.0,20714351.0,60768.0,1045503.0,339.0,514985782.0,68528774.0,Europe,281.0
Russia,18119862.0,9001.0,374563.0,195.0,17451090.0,13480.0,294209.0,2300.0,273400000.0,146047248.0,Europe,8.5275
S. Korea,16755055.0,81010.0,21873.0,206.0,627610.0,0.0,16105572.0,833.0,15804065.0,51348712.0,Asia,527.0
Italy,16008181.0,73212.0,162466.0,202.0,14622593.0,73233.0,1223122.0,411.0,210944097.0,60301588.0,Europe,199.9853
Turkey,15013616.0,2898.0,98660.0,15.0,14836951.0,19693.0,78005.0,975.0,157973070.0,85974730.0,Asia,109.1962
Spain,11786036.0,16381.0,103908.0,63.0,11261340.0,13474.0,420788.0,339.0,471036328.0,46787418.0,Europe,92.3318
Vietnam,10544324.0,11160.0,42998.0,7.0,9079265.0,2338.0,1422061.0,822.0,85776230.0,98917131.0,Asia,298.7619
Argentina,9060923.0,0.0,128344.0,0.0,8895999.0,0.0,36580.0,412.0,35716069.0,45943270.0,South America,16.5481
Netherlands,8035603.0,2628.0,22206.0,9.0,7604443.0,42770.0,408954.0,94.0,21107399.0,17203208.0,Europe,411.2652
Japan,7535033.0,47409.0,29201.0,50.0,7027666.0,42371.0,478166.0,207.0,46394230.0,125778658.0,Asia,332.2966
Iran,7214904.0,1096.0,140940.0,21.0,6960970.0,2925.0,112994.0,1134.0,50079995.0,85930475.0,Asia,52.1921
Colombia,6090803.0,283.0,139765.0,6.0,5924143.0,242.0,26895.0,342.0,34345975.0,51860369.0,South America,45.1175
Indonesia,6043246.0,651.0,156040.0,25.0,5866169.0,10808.0,21037.0,2771.0,94695148.0,278736566.0,Asia,146.5605
Poland,5989614.0,1097.0,115926.0,27.0,5334291.0,72.0,539397.0,268.0,36005439.0,37771902.0,Europe,120.6982
Mexico,5731635.0,1075.0,324033.0,29.0,5032356.0,869.0,375246.0,4798.0,15747399.0,131374233.0,North America,66.9744
Australia,5612854.0,48984.0,6939.0,46.0,5233750.0,47744.0,372165.0,134.0,68697978.0,26033121.0,Australia/Oceania,3.3891
Ukraine,4997224.0,813.0,108306.0,10.0,978652.0,0.0,3910266.0,177.0,19521252.0,43260263.0,Europe,71.5694
Malaysia,4421443.0,6342.0,35482.0,12.0,4300558.0,9111.0,85403.0,91.0,58261657.0,33113358.0,Asia,100.3046
Thailand,4128038.0,21808.0,27523.0,128.0,3909738.0,19826.0,190777.0,1496.0,17270775.0,70115668.0,Asia,136.5727
Austria,4092513.0,8155.0,18016.0,0.0,3967810.0,9448.0,106687.0,127.0,181611092.0,9099023.0,Europe,108.103
Israel,4047693.0,0.0,10658.0,0.0,4009152.0,0.0,27883.0,220.0,41373364.0,9326000.0,Asia,429.6048
Belgium,4015791.0,0.0,31319.0,0.0,3710449.0,20146.0,274023.0,169.0,33456470.0,11680536.0,Europe,382.2156
Czechia,3892513.0,2159.0,40067.0,13.0,3831075.0,5737.0,21371.0,50.0,55091627.0,10744790.0,Europe,139.0
Portugal,3791744.0,10588.0,22162.0,14.0,978652.0,0.0,2790930.0,61.0,40748372.0,10143125.0,Europe,110.1159
South Africa,3755459.0,4629.0,100286.0,10.0,3632282.0,1200.0,22891.0,175.0,24288173.0,60656348.0,Africa,49.7578
Canada,3691765.0,7477.0,38753.0,65.0,3422808.0,6904.0,230204.0,426.0,60536359.0,38338595.0,North America,3.8447
Philippines,3684094.0,230.0,60118.0,62.0,3608194.0,1156.0,15782.0,289.0,29359833.0,112209591.0,Asia,328.6345
Switzerland,3579867.0,0.0,13816.0,0.0,3336263.0,30953.0,229788.0,90.0,20666182.0,8768701.0,Europe,212.5191
Peru,3559343.0,730.0,212724.0,9.0,854575.0,0.0,2492044.0,356.0,29592270.0,33799595.0,South America,26.209
Chile,3541792.0,2949.0,57351.0,26.0,3359408.0,8727.0,125033.0,290.0,36660932.0,19411960.0,South America,25.4598
Greece,3273382.0,7014.0,28839.0,31.0,3144822.0,8592.0,99721.0,278.0,78799329.0,10331300.0,Europe,78.1623
Denmark,2957826.0,1520.0,6060.0,13.0,2926800.0,2486.0,24966.0,15.0,127128267.0,5828967.0,Europe,135.4005
Romania,2887258.0,974.0,65412.0,9.0,2606660.0,0.0,215186.0,218.0,22573847.0,19006423.0,Europe,79.8324
Sweden,2498388.0,0.0,18656.0,0.0,2461823.0,0.0,17909.0,19.0,18493218.0,10212771.0,Europe,22.6939
Iraq,2324031.0,153.0,25203.0,2.0,2295578.0,505.0,3250.0,26.0,18447972.0,41848594.0,Asia,96.1974
Serbia,2000516.0,763.0,15948.0,3.0,1966248.0,1466.0,18320.0,24.0,9422021.0,8673943.0,Europe,97.928
Bangladesh,1952506.0,21.0,29127.0,0.0,1892816.0,373.0,30563.0,1297.0,13951348.0,167646612.0,Asia,1137.6682
Hungary,1890953.0,2047.0,46048.0,24.0,1776617.0,6551.0,68288.0,45.0,11295119.0,9616141.0,Europe,103.262
Slovakia,1772201.0,1741.0,19817.0,14.0,1725465.0,3560.0,26919.0,92.0,7046883.0,5464408.0,Europe,111.3484
Jordan,1694216.0,0.0,14048.0,0.0,1678941.0,0.0,1227.0,124.0,16670254.0,10385696.0,Asia,115.297
