Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Tests,Population,continent,Density
China,193953.0,2841.0,4663.0,8.0,157869.0,2185.0,31421.0,223.0,160000000.0,1439323776.0,Asia,149.2199
USA,82573976.0,53550.0,1017836.0,386.0,80367438.0,34920.0,1188702.0,1492.0,999047824.0,334501170.0,North America,36.0
India,43052425.0,2451.0,522116.0,54.0,42516068.0,1589.0,14241.0,698.0,833377052.0,1404458147.0,Asia,427.8611
Brazil,30330629.0,18660.0,662556.0,86.0,29353398.0,12596.0,314675.0,8318.0,63776166.0,215282819.0,South America,25.2888
France,28076017.0,104007.0,144799.0,185.0,25618858.0,148402.0,2312360.0,1677.0,266484045.0,65533845.0,Europe,118.8782
Germany,23915437.0,139849.0,134284.0,390.0,20853100.0,243700.0,2928053.0,1980.0,122332384.0,84266819.0,Europe,234.893
UK,21921813.0,19995.0,173032.0,646.0,20653583.0,71883.0,1095198.0,349.0,514568936.0,68528774.0,Europe,281.0
Russia,18110861.0,8875.0,374368.0,197.0,17437610.0,14182.0,298883.0,2300.0,273400000.0,146047248.0,Europe,8.5275
S. Korea,16674045.0,90825.0,21667.0,147.0,627610.0,0.0,16024768.0,846.0,15804065.0,51348712.0,Asia,527.0
Italy,15934969.0,75552.0,162264.0,166.0,14549360.0,59916.0,1223345.0,415.0,210506904.0,60301588.0,Europe,199.9853
Turkey,15010718.0,3354.0,98645.0,17.0,14817258.0,18964.0,94815.0,975.0,157823818.0,85974730.0,Asia,109.1962
Spain,11769655.0,16381.0,103845.0,62.0,11247866.0,13475.0,417944.0,345.0,471036328.0,46787418.0,Europe,92.3318
Vietnam,10533164.0,12029.0,42991.0,9.0,9076927.0,8693.0,1413246.0,826.0,85770895.0,98917131.0,Asia,298.7619
Argentina,9060923.0,0.0,128344.0,0.0,8895999.0,0.0,36580.0,412.0,35716069.0,45943270.0,South America,16.5481
Netherlands,8032975.0,2997.0,22197.0,18.0,7561673.0,40523.0,449105.0,96.0,21107399.0,17203208.0,Europe,411.2652
