Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Tests,Population,continent,Density
Australia,5654608.0,41754.0,6970.0,31.0,5274197.0,40447.0,373441.0,132.0,68805662.0,26034737.0,Australia/Oceania,3.3891
Ukraine,4997224.0,0.0,108306.0,0.0,980504.0,0.0,3908414.0,177.0,19521252.0,43258835.0,Europe,71.5694
Malaysia,4427067.0,5624.0,35491.0,9.0,4310599.0,10041.0,80977.0,89.0,58332799.0,33115624.0,Asia,100.3046
Thailand,4148090.0,20052.0,27652.0,129.0,3932099.0,22361.0,188339.0,1496.0,17270775.0,70116622.0,Asia,136.5727
Austria,4099049.0,6536.0,18035.0,19.0,3979563.0,11753.0,101451.0,121.0,181724310.0,9099303.0,Europe,108.103
Israel,4054342.0,6649.0,10658.0,0.0,4009152.0,0.0,34532.0,220.0,41373364.0,9326000.0,Asia,429.6048
Belgium,4015791.0,0.0,31319.0,0.0,3710295.0,0.0,274177.0,169.0,33456470.0,11680811.0,Europe,382.2156
Czechia,3894637.0,2112.0,40076.0,9.0,3834664.0,3683.0,19897.0,47.0,55108160.0,10744898.0,Europe,139.0
Portugal,3791744.0,0.0,22162.0,0.0,980504.0,0.0,2789078.0,61.0,40748372.0,10142964.0,Europe,110.1159
South Africa,3759689.0,4230.0,100298.0,12.0,3632572.0,290.0,26819.0,175.0,24313334.0,60660434.0,Africa,49.7578
Canada,3695585.0,3820.0,38777.0,24.0,3426082.0,3274.0,230726.0,426.0,60536359.0,38340401.0,North America,3.8447
Philippines,3684295.0,205.0,60179.0,61.0,3609425.0,1231.0,14691.0,289.0,29406529.0,112217561.0,Asia,328.6345
Switzerland,3579867.0,0.0,13816.0,0.0,3358732.0,22469.0,207319.0,90.0,20666182.0,8769046.0,Europe,212.5191
Peru,3560095.0,752.0,212736.0,12.0,854575.0,0.0,2492784.0,340.0,29627340.0,33802105.0,South America,26.209
Chile,3544463.0,2671.0,57375.0,24.0,3368796.0,9388.0,118292.0,286.0,36711724.0,19412855.0,South America,25.4598
Greece,3277557.0,4175.0,28867.0,28.0,3151717.0,6895.0,96973.0,277.0,78872546.0,10331024.0,Europe,78.1623
Denmark,2959040.0,1214.0,6072.0,12.0,2929103.0,2303.0,23865.0,15.0,127141200.0,5829078.0,Europe,135.4005
Romania,2887824.0,566.0,65421.0,8.0,2606660.0,0.0,215743.0,212.0,22585326.0,19005726.0,Europe,79.8324
Sweden,2498388.0,0.0,18656.0,0.0,2463086.0,1263.0,16646.0,19.0,18493218.0,10213114.0,Europe,22.6939
Iraq,2324141.0,110.0,25204.0,1.0,2295947.0,369.0,2990.0,20.0,18450939.0,41853538.0,Asia,96.1974
Serbia,2001144.0,628.0,15953.0,5.0,1967786.0,1538.0,17405.0,25.0,9427662.0,8673752.0,Europe,97.928
Bangladesh,1952532.0,26.0,29127.0,0.0,1893131.0,315.0,30274.0,1297.0,13956056.0,167655571.0,Asia,1137.6682
Hungary,1890953.0,0.0,46048.0,0.0,1776617.0,0.0,68288.0,45.0,11295119.0,9616008.0,Europe,103.262
Slovakia,1773653.0,1452.0,19829.0,12.0,1728556.0,3091.0,25268.0,88.0,7052991.0,5464423.0,Europe,111.3484
Jordan,1694216.0,0.0,14048.0,0.0,1678941.0,0.0,1227.0,124.0,16670254.0,10386249.0,Asia,115.297
Georgia,1654163.0,87.0,16797.0,2.0,1635550.0,259.0,1816.0,0.0,16800497.0,3975325.0,Asia,56.9403
Pakistan,1527751.0,82.0,30369.0,1.0,1493998.0,65.0,3384.0,185.0,28028845.0,228644024.0,Asia,260.2176
Ireland,1509536.0,0.0,6996.0,0.0,1406802.0,8866.0,95738.0,44.0,12016948.0,5037497.0,Europe,71.4385
Norway,1423509.0,289.0,2871.0,0.0,980504.0,0.0,440134.0,20.0,11002430.0,5497878.0,Europe,17.0208
Kazakhstan,1305447.0,7.0,13660.0,0.0,1290975.0,11.0,812.0,24.0,11575012.0,19182717.0,Asia,7.048
