,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
0,World,"509,559,600","+432,162","6,243,513","+1,212","462,049,285","+563,014","41,266,802","42,416","65,372",801.0,,,
1,China,"200,654","+1,580","4,725",+39,"166,398","+2,672","29,531",236,139,3,"160,000,000","111,163","1,439,323,776"
2,USA,"82,698,955","+28,904","1,018,441",+50,"80,465,351","+30,438","1,215,163","1,426","247,219","3,045","1,000,491,407","2,990,853","334,517,050"
3,India,"43,060,086","+2,541","522,223",+30,"42,521,341","+1,862","16,522",698,"30,657",372,"834,717,702","594,287","1,404,569,267"
4,Brazil,"30,349,463","+3,809","662,701",+38,"29,384,354","+19,954","302,408","8,318","140,967","3,078","63,776,166","296,227","215,295,185"
5,France,"28,303,931","+58,954","145,060",+40,"25,880,480","+27,573","2,278,391","1,677","431,890","2,213","266,484,045","4,066,284","65,535,026"
6,Germany,"24,140,700","+31,267","134,646",+22,"21,243,000","+63,600","2,763,054","1,980","286,472","1,598","122,332,384","1,451,689","84,269,009"
7,UK,"21,967,616","+10,581","173,579",+114,"20,782,350","+68,278","1,011,687",339,"320,547","2,533","514,985,782","7,514,564","68,531,691"
8,Russia,"18,137,137","+8,446","374,902",+168,"17,474,628","+10,508","287,607","2,300","124,186","2,567","273,400,000","1,871,990","146,047,759"
9,S. Korea,"16,895,194","+64,725","22,133",+109,N/A,N/A,N/A,726,"329,026",431,"15,804,065","307,777","51,349,072"
10,Italy,"16,136,461","+56,667","162,688",+79,"14,729,220","+44,849","1,244,553",416,"267,599","2,698","211,691,841","3,510,594","60,300,862"
11,Turkey,"15,018,547","+2,277","98,691",+15,"14,870,422","+15,947","49,434",975,"174,670","1,148","158,238,176","1,840,360","85,982,165"
12,Spain,"11,786,036",,"103,908",,"11,261,340",,"420,788",339,"251,905","2,221","471,036,328","10,067,554","46,787,566"
13,Vietnam,"10,564,355","+8,814","43,013",+9,"9,086,075","+4,581","1,435,267",612,"106,792",435,"85,789,114","867,220","98,924,302"
14,Argentina,"9,072,230","+1,616","128,542",+29,"8,895,999",,"47,689",372,"197,451","2,798","35,716,069","777,338","45,946,666"
15,Netherlands,"8,039,217","+1,578","22,221",+5,"7,643,520","+39,086","373,476",94,"467,301","1,292","21,107,399","1,226,923","17,203,518"
16,Japan,"7,621,562","+43,721","29,284",+27,"7,135,403","+57,313","456,875",195,"60,597",233,"46,690,473","371,221","125,775,499"
17,Iran,"7,216,040",+528,"140,975",+13,"6,966,954","+2,963","108,111","1,046","83,967","1,640","50,811,054","591,244","85,939,287"
18,Colombia,"6,091,343",+249,"139,778",+7,"5,924,745",+312,"26,820",342,"117,447","2,695","34,371,690","662,717","51,864,812"
19,Indonesia,"6,044,150",+382,"156,100",+33,"5,870,419","+2,168","17,631","2,771","21,682",560,"94,904,806","340,453","278,760,259"
20,Poland,"5,991,197",+344,"115,948",,"5,334,374",+34,"540,875","1,588","158,617","3,070","36,027,053","953,814","37,771,563"
21,Mexico,"5,733,514",+802,"324,117",+57,"5,033,892",+654,"375,505","4,798","43,639","2,467","15,762,889","119,974","131,385,329"
22,Australia,"5,689,377","+34,769","6,989",+19,"5,313,222","+39,025","369,166",135,"218,523",268,"68,845,476","2,644,288","26,035,545"
23,Ukraine,"4,998,293",+301,"108,326",+8,N/A,N/A,N/A,177,"115,546","2,504","19,521,252","451,274","43,258,121"
24,Malaysia,"4,431,073","+4,006","35,499",+8,"4,320,822","+10,223","74,752",98,"133,802","1,072","58,381,292","1,762,893","33,116,757"
25,Thailand,"4,165,874","+17,784","27,778",+126,"3,954,945","+22,846","183,151","1,496","59,413",396,"17,270,775","246,313","70,117,100"
26,Austria,"4,104,859","+5,810","18,047",+12,"3,989,860","+10,297","96,952",121,"451,111","1,983","181,825,734","19,982,073","9,099,443"
