,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
0,World,"509,068,209","+551,723","6,241,911","+1,580","461,486,241","+595,228","41,340,057","42,635","65,309",800.8,,,
1,China,"199,074","+2,988","4,686",+12,"163,726","+3,127","30,662",237,138,3,"160,000,000","111,163","1,439,323,776"
2,USA,"82,649,779","+17,987","1,018,316",+77,"80,434,913","+32,660","1,196,550","1,465","247,076","3,044","1,000,275,726","2,990,256","334,511,757"
3,India,"43,057,545","+2,593","522,193",+44,"42,519,479","+1,755","15,873",698,"30,656",372,"834,281,170","593,992","1,404,532,227"
4,Brazil,"30,345,654","+6,957","662,663",+45,"29,364,400","+11,002","318,591","8,318","140,952","3,078","63,776,166","296,232","215,291,063"
5,France,"28,244,977","+80,571","145,020",+75,"25,852,907","+102,120","2,247,050","1,677","430,993","2,213","266,484,045","4,066,309","65,534,632"
6,Germany,"24,109,433","+89,665","134,624",+153,"21,179,400","+121,400","2,795,409","1,980","286,103","1,598","122,332,384","1,451,701","84,268,279"
7,UK,"21,933,206",,"173,352",,"20,714,072",,"1,045,782",339,"320,049","2,530","514,985,782","7,514,671","68,530,719"
8,Russia,"18,128,691","+8,829","374,734",+171,"17,464,120","+13,030","289,837","2,300","124,129","2,566","273,400,000","1,871,993","146,047,589"
9,S. Korea,"16,830,469","+75,414","22,024",+151,N/A,N/A,N/A,738,"327,767",429,"15,804,065","307,778","51,348,952"
10,Italy,"16,079,794","+71,105","162,609",+143,"14,684,371","+61,778","1,232,814",409,"266,658","2,697","211,365,630","3,505,170","60,301,104"
11,Turkey,"15,016,270","+2,654","98,676",+16,"14,854,475","+17,524","63,119",975,"174,649","1,148","158,110,923","1,838,933","85,979,686"
12,Spain,"11,786,036",,"103,908",,"11,261,340",,"420,788",339,"251,906","2,221","471,036,328","10,067,564","46,787,517"
13,Vietnam,"10,554,689","+10,365","43,004",+6,"9,081,494","+2,229","1,430,191",685,"106,697",435,"85,786,808","867,217","98,921,912"
14,Argentina,"9,060,923",,"128,344",,"8,895,999",,"36,580",412,"197,210","2,793","35,716,069","777,357","45,945,534"
