,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
0,World,"509,942,866","+383,266","6,245,317","+1,804","463,073,760","+1,024,475","40,623,789","42,461","65,421",801.2,,,
1,China,"203,334","+2,680","4,776",+51,"169,380","+2,982","29,178",274,141,3,"160,000,000","111,163","1,439,323,776"
2,USA,"82,733,863","+34,908","1,018,582",+141,"80,506,936","+41,585","1,208,345","1,415","247,323","3,045","1,001,145,653","2,992,809","334,517,050"
3,India,"43,062,097","+2,011","522,223",,"42,523,311","+1,970","16,563",698,"30,659",372,"834,717,702","594,287","1,404,569,267"
4,Brazil,"30,355,919","+6,456","662,777",+76,"29,411,813","+27,459","281,329","8,318","140,997","3,078","63,776,166","296,227","215,295,185"
5,France,"28,317,915","+13,984","145,257",+197,"26,083,461","+202,981","2,089,197","1,677","432,104","2,216","266,484,045","4,066,284","65,535,026"
6,Germany,"24,227,680","+86,980","134,817",+171,"21,425,200","+182,200","2,667,663","1,980","287,504","1,600","122,332,384","1,451,689","84,269,009"
7,UK,"21,978,198","+10,582","173,693",+114,"20,955,075","+172,725","849,430",339,"320,701","2,534","514,985,782","7,514,564","68,531,691"
8,Russia,"18,144,788","+7,651","375,061",+159,"17,483,483","+8,855","286,244","2,300","124,239","2,568","273,400,000","1,871,990","146,047,759"
9,S. Korea,"16,929,564","+34,370","22,243",+110,N/A,N/A,N/A,668,"329,696",433,"15,804,065","307,777","51,349,072"
10,Italy,"16,161,339","+24,878","162,781",+93,"14,755,958","+26,738","1,242,600",416,"268,012","2,699","211,830,644","3,512,896","60,300,862"
11,Turkey,"15,021,151","+2,604","98,706",+15,"14,888,995","+18,573","33,450",975,"174,701","1,148","158,372,522","1,841,923","85,982,165"
12,Spain,"11,786,036",,"103,908",,"11,261,340",,"420,788",339,"251,905","2,221","471,036,328","10,067,554","46,787,566"
13,Vietnam,"10,571,772","+7,417","43,021",+8,"9,092,760","+6,685","1,435,991",664,"106,867",435,"85,791,014","867,239","98,924,302"
14,Argentina,"9,072,230",,"128,542",,"8,895,999",,"47,689",372,"197,451","2,798","35,716,069","777,338","45,946,666"
15,Netherlands,"8,040,607","+1,390","22,227",+6,"7,706,644","+63,124","311,736",78,"467,382","1,292","21,107,399","1,226,923","17,203,518"
16,Japan,"7,660,012","+38,450","29,308",+24,"7,178,748","+43,345","451,956",191,"60,902",233,"46,754,605","371,731","125,775,499"
17,Iran,"7,217,117","+1,077","140,996",+21,"6,969,470","+2,516","106,651","1,031","83,979","1,641","50,862,245","591,839","85,939,287"
18,Colombia,"6,091,551",+208,"139,780",+2,"5,925,040",+295,"26,731",342,"117,451","2,695","34,388,490","663,041","51,864,812"
19,Indonesia,"6,044,467",+317,"156,133",+33,"5,875,083","+4,664","13,251","2,771","21,683",560,"95,024,563","340,883","278,760,259"
20,Poland,"5,991,464",+267,"115,948",,"5,334,380",+6,"541,136","1,588","158,624","3,070","36,032,893","953,969","37,771,563"
21,Mexico,"5,733,785",+271,"324,129",+12,"5,034,427",+535,"375,229","4,798","43,641","2,467","15,766,174","120,000","131,385,329"
22,Australia,"5,720,127","+30,750","7,002",+13,"5,353,033","+39,811","360,092",132,"219,705",269,"68,886,938","2,645,880","26,035,545"
23,Ukraine,"4,998,517",+224,"108,329",+3,N/A,N/A,N/A,177,"115,551","2,504","19,521,252","451,274","43,258,121"
24,Malaysia,"4,433,551","+2,478","35,507",+8,"4,330,037","+9,215","68,007",98,"133,876","1,072","58,425,629","1,764,232","33,116,757"
25,Thailand,"4,180,868","+14,994","27,902",+124,"3,978,469","+23,524","174,497","1,496","59,627",398,"17,270,775","246,313","70,117,100"
26,Austria,"4,108,970","+4,111","18,054",+7,"3,998,778","+8,918","92,138",124,"451,563","1,984","181,910,461","19,991,384","9,099,443"
27,Israel,"4,062,278","+4,506","10,673",+3,"4,022,613","+13,461","28,992",220,"435,586","1,144","41,373,364","4,436,346","9,326,000"
28,Belgium,"4,015,791",,"31,319",,"3,739,914","+13,457","244,558",169,"343,790","2,681","33,456,470","2,864,191","11,680,949"
29,Czechia,"3,896,149",+592,"40,099",+4,"3,840,825","+2,797","15,225",42,"362,603","3,732","55,122,500","5,130,083","10,744,953"
30,Portugal,"3,791,744",,"22,162",,N/A,N/A,N/A,61,"373,833","2,185","41,038,444","4,046,033","10,142,883"
31,South Africa,"3,764,865","+1,954","100,333",+30,"3,634,446","+1,149","30,086",175,"62,063","1,654","24,332,659","401,115","60,662,476"
32,Canada,"3,706,887","+7,204","38,847",+64,"3,431,944","+2,670","236,096",471,"96,681","1,013","60,625,588","1,581,208","38,341,304"
33,Philippines,"3,684,712",+213,"60,194",+12,"3,611,879","+1,221","12,639",289,"32,834",536,"29,446,030","262,392","112,221,547"
34,Switzerland,"3,579,867",,"13,816",,"3,395,378","+16,871","170,673",90,"408,231","1,576","20,666,182","2,356,673","8,769,219"
35,Peru,"3,561,677",+801,"212,761",+19,N/A,N/A,N/A,353,"105,365","6,294","29,673,543","877,828","33,803,361"
36,Chile,"3,547,977","+1,484","57,376",+1,"3,385,643","+7,448","104,958",263,"182,760","2,955","36,787,580","1,894,968","19,413,303"
37,Greece,"3,285,970","+8,413","28,933",+66,"3,178,081","+26,364","78,956",279,"318,072","2,801","79,010,158","7,647,956","10,330,885"
38,Denmark,"2,960,882",+910,"6,105",+21,"2,932,403","+1,686","22,374",15,"507,945","1,047","127,159,230","21,814,429","5,829,134"
39,Romania,"2,888,639",+321,"65,428",+1,"2,606,660",,"216,551",221,"151,991","3,443","22,601,950","1,189,240","19,005,377"
40,Sweden,"2,498,388",,"18,656",,"2,465,572","+1,151","14,160",19,"244,621","1,827","18,493,218","1,810,702","10,213,286"
41,Iraq,"2,324,384",+161,"25,207",+2,"2,296,548",+278,"2,629",27,"55,533",602,"18,457,500","440,976","41,856,010"
42,Serbia,"2,002,353",+699,"15,960",+4,"1,969,132",,"17,261",30,"230,855","1,840","9,439,734","1,088,322","8,673,656"
43,Bangladesh,"1,952,583",+27,"29,127",,"1,893,759",+299,"29,697","1,297","11,646",174,"13,968,195","83,313","167,660,051"
44,Hungary,"1,894,278","+3,325","46,101",+53,"1,788,191","+11,574","59,986",40,"196,994","4,794","11,315,178","1,176,710","9,615,941"
