,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
0,World,"506,882,550","+918,218","6,232,833","+3,324","458,967,501","+1,041,435","41,682,216","41,786","65,028",799.6,,,
1,China,"191,112","+2,761","4,655",+7,"155,684","+2,365","30,773",116,133,3,"160,000,000","111,163","1,439,323,776"
2,USA,"82,507,854","+50,881","1,017,310",+440,"80,320,797","+36,111","1,169,747","1,514","246,663","3,041","998,630,495","2,985,479","334,495,877"
3,India,"43,049,974","+2,380","522,062",+56,"42,514,479","+1,231","13,433",698,"30,653",372,"832,927,938","593,076","1,404,421,106"
4,Brazil,"30,311,969","+32,699","662,470",+204,"29,340,802","+41,954","308,697","8,318","140,803","3,077","63,776,166","296,249","215,278,697"
5,France,"27,972,010","+155,711","144,614",+227,"25,470,456","+169,129","2,356,940","1,541","426,836","2,207","260,504,402","3,975,136","65,533,452"
6,Germany,"23,775,588","+187,233","133,894",+361,"20,609,400","+261,500","3,032,294","1,980","282,149","1,589","122,332,384","1,451,739","84,266,089"
7,UK,"21,890,037","+15,945","172,386",+508,"20,581,700","+82,303","1,135,951",336,"319,433","2,516","514,189,111","7,503,365","68,527,802"
8,Russia,"18,101,986","+9,195","374,171",+223,"17,423,428","+16,200","304,387","2,300","123,946","2,562","273,400,000","1,871,999","146,047,077"
9,S. Korea,"16,583,220","+111,280","21,520",+166,N/A,N/A,N/A,808,"322,954",419,"15,804,065","307,780","51,348,592"
10,Italy,"15,859,417","+100,823","162,098",+205,"14,489,444","+101,614","1,207,875",413,"263,001","2,688","210,060,724","3,483,488","60,301,830"
11,Turkey,"15,007,364","+3,668","98,628",+18,"14,798,294","+17,857","110,442",975,"174,561","1,147","157,670,085","1,833,965","85,972,252"
12,Spain,"11,736,893",,"103,721",,"11,220,981",,"412,191",345,"250,856","2,217","471,036,328","10,067,596","46,787,369"
13,Vietnam,"10,521,135","+13,295","42,982",+7,"9,068,234","+2,540","1,409,919",896,"106,366",435,"85,724,870","866,654","98,914,740"
14,Argentina,"9,060,923",,"128,344",,"8,895,999",,"36,580",412,"197,225","2,794","35,716,069","777,414","45,942,138"
15,Netherlands,"8,029,978","+3,498","22,179",+11,"7,521,150","+31,909","486,649",107,"466,775","1,289","21,107,399","1,226,953","17,203,105"
16,Japan,"7,440,164","+37,631","29,102",+53,"6,920,097","+45,082","490,965",214,"59,152",231,"46,045,240","366,078","125,779,711"
17,Iran,"7,212,395","+1,607","140,896",+19,"6,954,941","+2,934","116,558","1,225","83,936","1,640","50,079,995","582,817","85,927,538"
18,Colombia,"6,090,246",+248,"139,755",+1,"5,923,619",+176,"26,872",342,"117,439","2,695","34,306,661","661,539","51,858,888"
19,Indonesia,"6,042,010",+741,"155,974",+37,"5,840,945","+4,635","45,091","2,771","21,677",560,"94,510,650","339,078","278,728,668"
20,Poland,"5,987,340","+1,526","115,869",+31,"5,334,163",+64,"537,308",268,"158,513","3,068","35,975,804","952,446","37,772,015"
21,Mexico,"5,729,270","+1,438","323,973",+24,"5,030,349","+1,232","374,948","4,798","43,612","2,466","15,728,496","119,726","131,370,534"
22,Australia,"5,509,313","+51,325","6,842",+35,"5,131,262","+57,730","371,209",161,"211,634",263,"68,517,394","2,632,013","26,032,313"
23,Ukraine,"4,995,390","+1,144","108,286",+18,N/A,N/A,N/A,177,"115,471","2,503","19,521,252","451,244","43,260,977"
24,Malaysia,"4,409,202","+6,968","35,465",+16,"4,283,013","+8,267","90,724",97,"133,159","1,071","58,132,383","1,755,617","33,112,225"
25,Thailand,"4,084,299","+20,455","27,266",+128,"3,865,293","+25,933","191,740","1,496","58,251",389,"17,270,775","246,320","70,115,191"
26,Austria,"4,072,410","+7,571","17,057",+31,"3,945,134","+14,656","110,219",138,"447,573","1,875","181,007,797","19,893,409","9,098,883"
27,Israel,"4,044,994","+4,050","10,658",+11,"3,941,841",,"92,495",220,"433,733","1,143","41,373,364","4,436,346","9,326,000"
28,Belgium,"4,011,109","+6,602","31,304",+14,"3,683,057","+6,661","296,748",181,"343,405","2,680","33,313,880","2,852,118","11,680,399"
29,Czechia,"3,886,906","+3,585","40,033",+12,"3,823,730","+1,745","23,143",60,"361,750","3,726","55,054,194","5,123,829","10,744,736"
30,South Africa,"3,746,424","+2,842","100,211",+16,"3,630,033","+1,257","16,180",175,"61,767","1,652","24,234,233","399,547","60,654,305"
31,Portugal,"3,719,485",,"21,993",,N/A,N/A,N/A,61,"366,697","2,168","40,748,372","4,017,307","10,143,206"
32,Philippines,"3,683,731",+364,"59,990",+8,"3,605,879","+1,309","17,862",289,"32,830",535,"29,336,384","261,452","112,205,605"
33,Canada,"3,664,699","+9,896","38,542",+113,"3,409,765","+5,893","216,392",426,"95,590","1,005","60,442,165","1,576,573","38,337,692"
34,Switzerland,"3,579,867",,"13,816",+3,"3,305,310","+12,279","260,741",90,"408,263","1,576","20,666,182","2,356,859","8,768,528"
35,Peru,"3,557,869",+730,"212,704",+28,N/A,N/A,N/A,353,"105,268","6,293","29,509,747","873,112","33,798,340"
36,Chile,"3,535,534","+2,885","57,283",+8,"3,343,870","+7,550","134,381",305,"182,136","2,951","36,543,862","1,882,587","19,411,512"
37,Greece,"3,259,613","+7,365","28,765",+64,"3,123,776","+14,714","107,072",291,"315,504","2,784","78,430,601","7,591,450","10,331,439"
38,Denmark,"2,954,428","+2,177","6,030",+11,"2,921,727","+2,989","26,671",17,"506,858","1,034","127,100,065","21,805,113","5,828,911"
39,Romania,"2,885,221","+1,107","65,384",+17,"2,606,660",,"213,177",233,"151,800","3,440","22,534,694","1,185,614","19,006,772"
40,Sweden,"2,498,388",+666,"18,656",,"2,459,356",+342,"20,376",24,"244,638","1,827","18,471,631","1,808,710","10,212,599"
41,Iraq,"2,323,707",+199,"25,201",+1,"2,294,565",+547,"3,941",29,"55,530",602,"18,439,137","440,641","41,846,122"
42,Serbia,"1,998,776",+921,"15,940",+4,"1,963,793","+1,498","19,043",22,"230,432","1,838","9,405,605","1,084,340","8,674,039"
43,Bangladesh,"1,952,440",+28,"29,127",+1,"1,892,072",+546,"31,241","1,283","11,646",174,"13,941,498","83,162","167,642,133"
44,Hungary,"1,885,865","+1,407","46,000",+29,"1,763,911","+3,134","75,954",47,"196,113","4,784","11,278,894","1,172,905","9,616,208"
45,Slovakia,"1,768,045","+2,083","19,790",+17,"1,717,542","+5,205","30,713",109,"323,557","3,622","7,032,606","1,286,986","5,464,401"
46,Jordan,"1,694,216",,"14,048",,"1,678,941",,"1,227",124,"163,134","1,353","16,670,254","1,605,160","10,385,419"
47,Georgia,"1,653,692",+232,"16,794",,"1,634,591",+117,"2,307",,"415,983","4,224","16,749,333","4,213,258","3,975,387"
48,Pakistan,"1,527,486",+75,"30,368",+4,"1,493,796",+89,"3,322",215,"6,682",133,"27,965,862","122,331","228,608,810"
49,Ireland,"1,506,963","+1,395","6,981",+17,"1,383,213","+3,992","116,769",42,"299,176","1,386","12,003,922","2,383,128","5,037,045"
50,Norway,"1,421,691",+941,"2,871",,N/A,N/A,N/A,20,"258,605",522,"11,002,430","2,001,340","5,497,531"
51,Kazakhstan,"1,305,417",+11,"13,660",,"1,290,904",+8,853,24,"68,058",712,"11,575,012","603,466","19,180,876"
52,Hong Kong,"1,199,706",+668,"9,186",+10,N/A,N/A,N/A,115,"157,722","1,208","44,972,952","5,912,481","7,606,443"
53,Singapore,"1,170,970","+3,472","1,319",+2,"1,102,269","+3,127","67,382",8,"197,361",222,"23,712,995","3,996,698","5,933,147"
54,Morocco,"1,164,507",+40,"16,064",,"1,147,911",+108,532,293,"30,891",426,"11,237,010","298,081","37,697,852"
55,Bulgaria,"1,151,620",+609,"36,827",+11,"957,834","+2,470","156,959",116,"168,014","5,373","9,777,999","1,426,544","6,854,328"
56,Croatia,"1,114,141",+478,"15,757",+5,"1,094,761",+313,"3,623",20,"274,438","3,881","4,749,397","1,169,885","4,059,712"
57,Cuba,"1,100,609",+297,"8,522",,"1,090,651",+393,"1,436",23,"97,277",753,"12,920,253","1,141,953","11,314,174"
58,Lebanon,"1,095,959",+148,"10,368",+3,"1,078,226",+396,"7,365",186,"161,874","1,531","4,795,578","708,311","6,770,443"
59,Lithuania,"1,051,268","+1,056","9,035",+9,"1,011,212","+2,479","31,021",53,"396,113","3,404","8,194,298","3,087,578","2,653,957"
60,Tunisia,"1,039,532",,"28,533",,N/A,N/A,N/A,29,"86,331","2,370","4,563,397","378,983","12,041,170"
61,Slovenia,"1,000,460","+2,152","6,567",+3,"974,615","+2,301","19,278",28,"481,117","3,158","2,636,541","1,267,902","2,079,452"
62,Nepal,"978,693",+9,"11,951",,"966,424",+25,318,,"32,537",397,"5,605,701","186,362","30,079,674"
63,Belarus,"975,566",+605,"6,914",+4,"928,536",,"40,116",,"103,303",732,"13,058,091","1,382,726","9,443,729"
64,Finland,"949,583",,"3,517",,"46,000",,"900,066",29,"170,905",633,"10,591,416","1,906,230","5,556,210"
65,Bolivia,"904,126",+97,"21,905",+1,"853,511",+430,"28,710",220,"75,599","1,832","2,693,845","225,246","11,959,546"
66,UAE,"896,141",+249,"2,302",,"878,441",+385,"15,398",,"88,679",228,"153,311,221","15,171,154","10,105,442"
67,Uruguay,"895,775",,"7,197",,"886,654",,"1,924",18,"256,273","2,059","6,091,188","1,742,632","3,495,396"
68,Ecuador,"866,925",,"35,528",,N/A,N/A,N/A,759,"47,830","1,960","2,470,170","136,284","18,125,117"
69,New Zealand,"850,747","+11,292",582,+12,"795,027","+9,514","55,138",,"170,078",116,"6,975,091","1,394,433","5,002,100"
70,Costa Rica,"847,784",,"8,383",,"829,515",,"9,886",43,"163,733","1,619","4,240,743","819,019","5,177,833"
71,Guatemala,"839,416",+898,"17,457",+12,"819,213",+837,"2,746",5,"45,345",943,"4,381,418","236,682","18,511,815"
72,Latvia,"814,400",+985,"5,724",+8,"799,701","+1,055","8,975",9,"440,531","3,096","7,136,411","3,860,276","1,848,679"
73,Azerbaijan,"792,412",+21,"9,706",,"782,584",+12,122,,"76,906",942,"6,780,926","658,109","10,303,646"
74,Panama,"769,976",+519,"8,180",+1,"758,759",,"3,037",9,"173,536","1,844","5,807,856","1,308,965","4,436,982"
75,Saudi Arabia,"752,994",+146,"9,074",+2,"739,767",+231,"4,153",59,"21,040",254,"41,783,592","1,167,484","35,789,428"
76,Sri Lanka,"663,006",+61,"16,497",,"642,560",+3,"3,949",,"30,731",765,"6,486,117","300,633","21,574,834"
77,Paraguay,"648,682",,"18,786",,"624,673",,"5,223",6,"88,980","2,577","2,615,453","358,763","7,290,200"
78,Kuwait,"631,076",+74,"2,555",,"627,610",+103,911,8,"143,943",583,"7,986,760","1,821,708","4,384,216"
79,Myanmar,"612,677",+19,"19,434",,"591,522",+15,"1,721",,"11,126",353,"7,858,171","142,704","55,066,249"
80,Palestine,"581,816",,"5,353",,"575,899",,564,17,"109,472","1,007","3,078,533","579,245","5,314,731"
81,Dominican Republic,"578,789",,"4,375",,"574,244",,170,16,"52,409",396,"3,255,822","294,813","11,043,679"
82,Estonia,"568,544",+209,"2,526",+1,"504,185","+1,378","61,833",5,"428,075","1,902","3,300,973","2,485,410","1,328,140"
83,Bahrain,"564,617",+441,"1,474",,"559,442",+511,"3,701",3,"312,302",815,"9,683,216","5,355,995","1,807,921"
84,Venezuela,"522,056",+1,"5,704",+1,"515,060",+98,"1,292",230,"18,453",202,"3,359,014","118,731","28,290,950"
85,Moldova,"516,699",+112,"11,487",+2,"503,763",+164,"1,449",44,"128,625","2,860","3,210,737","799,269","4,017,091"
86,Egypt,"515,645",,"24,613",,"442,182",,"48,850",122,"4,873",233,"3,693,367","34,907","105,806,911"
87,Libya,"501,862",,"6,429",,"490,900",,"4,533",101,"71,293",913,"2,476,960","351,869","7,039,428"
88,Ethiopia,"470,352",+47,"7,510",+1,"453,671",+13,"9,171",15,"3,917",63,"4,752,120","39,573","120,085,619"
89,Mongolia,"469,450",+51,"2,177",,"313,256",,"154,017",192,"139,167",645,"4,030,048","1,194,697","3,373,280"
90,Cyprus,"464,366",,993,,"124,370",,"339,003",60,"379,639",812,"9,477,138","7,747,969","1,223,177"
91,Armenia,"422,799",+15,"8,622",,"410,503",+18,"3,674",,"142,203","2,900","3,023,341","1,016,861","2,973,211"
92,Honduras,"422,275",+36,"10,892",,"131,100",,"280,283",105,"41,448","1,069","1,263,329","124,001","10,188,052"
93,Oman,"388,956",+34,"4,257",,"384,029",+27,670,3,"72,835",797,"25,000,000","4,681,452","5,340,223"
94,Bosnia and Herzegovina,"376,567",+41,"15,753",+1,"192,218",,"168,596",,"116,078","4,856","1,750,968","539,740","3,244,098"
95,Réunion,"374,295","+13,850",742,+11,"355,605","+13,163","17,948",10,"412,760",818,"1,603,660","1,768,461","906,811"
96,Qatar,"363,828",+74,677,,"362,232",+138,919,1,"129,577",241,"3,423,677","1,219,343","2,807,805"
97,Kenya,"323,646",+16,"5,649",,"317,882",+31,115,,"5,790",101,"3,573,937","63,932","55,901,949"
98,Zambia,"318,860",+220,"3,973",,"313,866",+30,"1,021",,"16,513",206,"3,402,725","176,217","19,309,901"
99,North Macedonia,"308,878",+126,"9,265",+2,"298,811",+123,802,,"148,270","4,447","2,000,910","960,489","2,083,220"
100,Botswana,"305,859",,"2,688",,"303,026",,145,1,"125,504","1,103","2,026,898","831,702","2,437,048"
101,Albania,"274,606",+71,"3,496",,"270,789",+47,321,2,"95,610","1,217","1,795,792","625,245","2,872,142"
102,Algeria,"265,746",,"6,874",,"178,337",+1,"80,535",6,"5,870",152,"230,861","5,099","45,275,692"
103,Nigeria,"255,670",,"3,143",,"249,874",,"2,653",11,"1,187",15,"5,036,813","23,391","215,329,384"
104,Zimbabwe,"247,336",+39,"5,466",+2,"241,160",+48,710,12,"16,216",358,"2,232,354","146,362","15,252,247"
105,Uzbekistan,"238,357",+36,"1,637",,"236,352",+31,368,23,"6,941",48,"1,377,915","40,123","34,342,021"
106,Montenegro,"234,405",+69,"2,710",+1,"231,076",+72,619,6,"373,132","4,314","2,441,891","3,887,068","628,209"
107,Luxembourg,"231,669",+678,"1,056",+1,"218,751",+642,"11,862",2,"359,566","1,639","4,207,684","6,530,608","644,302"
108,Mozambique,"225,345",+7,"2,201",,"223,088",,56,13,"6,864",67,"1,307,729","39,833","32,830,285"
