,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
148,Syria,"55,813",+3,"3,150",,"52,159",+11,504,,"3,054",172,"146,269","8,003","18,275,834"
149,Gabon,"47,602",,304,,"47,285",,13,,"20,505",131,"1,593,622","686,463","2,321,497"
150,Papua New Guinea,"43,800",,649,,"43,100",,51,7,"4,732",70,"249,149","26,917","9,256,112"
151,Seychelles,"42,474",,166,,"41,727",,581,,"427,055","1,669",,,"99,458"
152,Curaçao,"42,241",+275,274,+1,"41,612",+361,355,3,"255,515","1,657","496,693","3,004,488","165,317"
153,Andorra,"41,349",,153,,"40,689",,507,14,"533,597","1,974","249,838","3,224,091","77,491"
154,Burundi,"39,998",+204,38,,773,,"39,187",,"3,191",3,"345,742","27,579","12,536,394"
155,Mauritius,"37,642",+28,990,,"35,895",+40,757,,"29,509",776,"358,675","281,177","1,275,618"
156,Mayotte,"37,363",+325,187,,"2,964",,"34,212",,"131,182",657,"176,919","621,167","284,817"
157,Togo,"36,985",,273,,"36,688",,24,,"4,284",32,"729,891","84,551","8,632,524"
158,Guinea,"36,459",,440,,"35,976",,43,8,"2,645",32,"660,107","47,895","13,782,255"
159,Aruba,"34,846",+257,212,,"34,516",+265,118,3,"323,869","1,970","177,885","1,653,314","107,593"
160,Faeroe Islands,"34,658",,28,,"7,693",,"26,937",5,"704,402",569,"778,000","15,812,365","49,202"
161,Tanzania,"33,872",,803,,N/A,N/A,N/A,7,539,13,,,"62,836,114"
162,Bahamas,"33,541",+14,789,,"32,351",+9,401,11,"83,832","1,972","229,817","574,400","400,099"
163,Lesotho,"32,910",,697,,"24,155",,"8,058",,"15,143",321,"431,221","198,424","2,173,229"
164,Mali,"30,815",+11,732,+1,"29,890",+5,193,,"1,446",34,"666,075","31,250","21,314,211"
165,Haiti,"30,690",+35,835,,"29,520",+41,335,,"2,633",72,"132,422","11,361","11,656,085"
166,Isle of Man,"28,416",,87,,"26,794",,"1,535",,"330,981","1,013","150,753","1,755,923","85,854"
167,Benin,"26,952",,163,,"25,506",,"1,283",5,"2,122",13,"604,310","47,575","12,702,153"
168,Somalia,"26,485",,"1,350",,"13,182",,"11,953",,"1,586",81,"400,466","23,978","16,701,617"
169,Congo,"24,079",,385,,"20,178",,"3,516",,"4,176",67,"347,815","60,324","5,765,738"
170,Saint Lucia,"23,394",+33,368,,"22,815",+13,211,,"126,346","1,987","143,281","773,831","185,158"
171,Timor-Leste,"22,863",,130,,"22,722",,11,,"16,759",95,"262,493","192,409","1,364,242"
172,Cayman Islands,"22,223",,27,,"8,553",,"13,643",1,"331,044",402,"222,773","3,318,531","67,130"
173,Burkina Faso,"20,853",,382,,"20,439",,32,,950,17,"248,995","11,345","21,948,289"
174,Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,732",33,,,"6,768,324"
175,Gibraltar,"17,837",+131,102,,"16,579",,"1,156",,"529,712","3,029","534,283","15,866,807","33,673"
176,South Sudan,"17,461",+5,138,,"13,514",,"3,809",1,"1,527",12,"381,528","33,370","11,433,118"
177,Tajikistan,"17,388",,124,,"17,264",,0,,"1,751",12,,,"9,928,279"
